DRUGID,TARGETID,DRUGNAME
D07CMM,T45598,Interferon alfa-n3
D0S0AF,T53381,Bunazosin
D01VJN,T42748,Olanzapine/fluoxetine combination
D09VOS,T30956,ETI-204
D0O6KE,T81905,Repirinast
D0S2UG,T62151,Selegiline
D0UQ1R,T14602,Eloctate
D06RUL,T51408,Bitolterol
D05IHU,T01777,Tetrahydrozoline
D0S5RZ,T03403,Amtolmetin guacil
D0Z9PX,T09130,Isopropamide iodide
D03DVJ,T01777,Propylhexedrine
D0A7QN,T53381,Moxisylyte
D0F0ID,T60810,Polyoxidonium
D0D9FW,T64382,DP-VPA
D00BDC,T03403,Morniflumate
D0WY5Q,T30082,Rivastigmine
D0OZ4J,T99948,RG-7446
D0M1PR,T95212,Prevnar
D0Z4XW,T09826,Topetecan
D07NJI,T78709,Treximet
D0F0ZE,T40111,Merimepodib
D0B7OD,T21945,Amfepramone
D0M9BW,T40800,Artemether
D0S3WH,T23761,Artemisinin
D03KEK,T54128,Artemisinin SP
D0D4JO,T23761,Artesunate
D0F3IP,T03403,Asasantin
D00XHD,T34743,Balofloxacin
D0WB9V,T51487,Barbiturate
D04AIT,T30653,B-Lactams
D0B5FZ,T88240,Cefozopran
D0Y2DI,T89515,Chlorproguanil
D0O1WX,T40696,Ciprofloxacin XR
D0U5SC,T52624,CT-102
D02WFK,T62276,Cycloserine
D03CEF,T21945,Desvenalfaxine succinate
D0N6FH,T23761,Dihydroartemisinin
D07YDE,T57680,Nitroglycerin
D02IIW,T88240,Faropenem
D09WZV,T82240,GMA-161
D07ILQ,T37693,Guanfacine extended release
D05GGP,T59328,HEGF
D0GA5T,T51487,Indiplon
D0FG6M,T52522,GW642444
D0Y7JU,T40016,GW685698X
D09OQV,T67162,N-0923
D02IBU,T88240,Oritavancin
D0E3SH,T68547,Panobinostat
D0Q0EX,T53601,Lincomycin
D09NNA,T11211,Dromostanolone
D06XMU,T11211,Testosterone
D0M6DO,T13260,Aminoglutethimide
D0GY5Z,T53585,Aspirin
D0L0MB,T67162,Acetophenazine
D0I8LU,T67162,Zuclopenthixol
D01QML,T67162,Carphenazine
D03ELL,T67162,Amisulpride
D0R5RR,T34743,Clofarabine
D0SP3D,T67162,Dihydroergotoxine
D08CDI,T92494,Lapatinib
D08QMX,T89534,Estradiol
D02KIU,T22939,Etonogestrel
D0R2KY,T22939,Ethynodiol Diacetate
D0GC2M,T54128,Acamprosate
D0D9FV,T69494,Orphenadrine
D0Y2LR,T77913,Doxylamine
D0M2MC,T21945,Phenmetrazine
D04GJN,T22939,Megestrol
D00MYQ,T21945,Protriptyline
D0Y5UG,T27812,Amitriptyline
D0U7GK,T20178,Thalidomide
D0I8CA,T10897,Isoxyl
D0Q0JG,T79961,Ispaghula
D0E1XL,T73676,Levetiracetam
D0I4DQ,T76198,Alprostadil
D06MQM,T40800,Lumefantrine
D0Q6OS,T88338,Macrolides
D0E3SF,T89515,MCB-3837
D0VU8Q,T79961,Mebeverine
D07MEH,T67162,Meglitinides
D0P6UB,T29500,Methamphetamine
D0IN7I,T67162,Nemonapride
D0O8DI,T69494,Nitrous oxide
D00ZTD,T23761,OZ277
D0P0SZ,T23761,Piperaquine
D0Y4AW,T00895,Meprobamate
D0E0KQ,T23761,Pyronaridine
D0Z3EI,T96144,Quinolones
D0MD2L,T29303,Rufinamide
D07QFP,T61400,Teriflunomide
D0H6VY,T79798,SM-101
D0T1EO,T88240,Sulfonamides
D07PAO,T83011,Sulphadoxine
D00XWD,T59679,Tegaserod
D06CVT,T27812,Tianeptine
D0NJ5H,T31391,Alogliptin
D0I5HF,T84631,Apixaban
D0L5RW,T96079,Plerixafor
D0C4AM,T36075,Pramlintide
D0E9TP,T73476,Sulodexide
D0EW4L,T50912,Abatacept
D07MUN,T62193,Vitamin B6
D06PQT,T71690,Vitamin B1
D05ZYM,T53103,N-Acetyl-D-glucosamine
D0G3SH,T37046,Ursodeoxycholic acid
D0P7EK,T93955,Mannitol
D04CSZ,T41955,Menthol
D0AA2D,T73726,Bifonazole
D0OJ4L,T46482,Hydroxychloroquine
D0G4OD,T72657,Tigecycline
D04VEJ,T72657,Lymecycline
D02GAC,T72657,Clomocycline
D0H1AR,T72657,Methacycline
D05AFR,T72657,Rolitetracycline
D03UQM,T53601,Retapamulin
D0X1WJ,T53601,Josamycin
D06ZUP,T53601,Dirithromycin
D0E4WR,T27265,Azelaic Acid
D0T3KI,T07806,Naratriptan
D01KHH,T75984,Cyclobenzaprine
D0E7MV,T48472,Capreomycin
D06IAQ,T30082,Ambenonium
D06IDT,T30082,Demecarium bromide
D0K3LW,T30082,Malathion
D0B2OT,T30082,Isoflurophate
D03KZM,T66237,Tolvaptan
D0E6OC,T33489,Tranilast
D0K0KH,T64591,Tropisetron
D0B5LF,T84726,Ximelegatran
D01NLB,T38338,Ziconotide
D0L6DA,T66665,Valdecoxib
D0S5WG,T52227,Flucytosine
D0S7WX,T99616,Vitamin A
D0L3DK,T31391,Vildagliptin
D0N0ES,T88185,Vitamin B3
D07IRF,T46937,Prasugrel
D02LWU,T89515,Pralatrexate
D0Z0MG,T25163,Carglumic acid
D0O7JW,T77913,Alcaftadine
D0V4WD,T22939,Ulipristal
D0M7JT,T94033,Dabigatran
D0UL9R,T70449,Tesamorelin
D0KK2E,T43189,Eribulin
D0V7DW,T09005,"Meningococcal groups A, C, Y and W-135 conjugate vaccine"
D09LEN,T09005,Pneumococcal 13-valent conjugate vaccine
D04ELD,T28265,Glassia
D07BVI,T15000,Ipilimumab
D0W2EK,T43189,Ixabepilone
D0O3OS,T76685,SR141716A
D01SAT,T67162,Bevantolol
D0G1OZ,T67162,Mephentermine
D0V2GH,T31424,Nicergoline
D00YWP,T11211,Nandrolone
D0L2LS,T11211,Fluoxymesterone
D0U3GL,T11211,Oxandrolone
D06AEO,T11211,Cyproterone
D0T7US,T74456,Eprosartan
D09HDR,T82577,Deserpidine
D0G8NJ,T82577,Rescinnamine
D05MFG,T82577,Spirapril
D04GKO,T82577,Cilazapril
D06RCB,T00140,Diethylcarbamazine
D0P2YU,T09423,Mitiglinide
D09FJB,T09423,Tolazamide
D0Z4SB,T09423,Glipizide
D03JAA,T09423,Glycodiazine
D00BCP,T09423,Chlorpropamide
D06HBQ,T09423,Gliquidone
D04NTJ,T09423,Glisoxepide
D0QQ7D,T38179,Tazobactam
D06GAM,T96144,Fleroxacin
D07CPU,T96144,Rosoxacin
D0P2CK,T75440,Estazolam
D0W2NM,T75440,Flunitrazepam
D0R4DP,T75440,Clotiazepam
D06ZII,T75440,Eszopiclone
D06FWC,T75440,Fludiazepam
D00MDP,T73475,Prinomastat
D05IQX,T02318,Belimumab
D0WF7L,T46937,Brilinta
D02HSB,T43189,Cabazitaxel
D04XGU,T53585,Crestor/TriLipix
D07XHO,T20297,Nafamostat
D0TV6I,T83011,Safinamide
D02LCR,T67162,Tiapride
D06KYN,T44068,Arbutamine
D0W8SB,T44068,Penbutolol
D02YYF,T44068,Bretylium
D0KD1U,T44068,Practolol
D0Z1UA,T44068,Nebivolol
D0D1DI,T52522,Arformoterol
D0Z1WA,T52522,Procaterol
D0X5NX,T52522,Clenbuterol
D04XEG,T52522,Fenoterol
D0L5YV,T52522,Salmeterol
D0X7JN,T38179,Clavulanate
D04RLY,T68536,Vindesine
D0J1MI,T68536,Mebendazole
D00KVO,T68536,Albendazole
D08ZEB,T39078,Chlorzoxazone
D0W7OE,T39610,Aprindine
D0J8ZA,T43920,Quinethazone
D00SBN,T75888,Perhexiline
D0G8SQ,T75888,Levacecarnine hci
D0NJ3V,T02001,Papaverine
D01GUS,T07663,Udenafil
D0Y9TS,T05849,Ceruletide
D0Q2MH,T99799,Hexafluronium bromide
D0Q5KL,T84631,Coagulation Factor IX
D0Y4KE,T68934,Collagenase
D07AHW,T37382,Vitamin C
D0G2MW,T03403,Icosapent
D04YMH,T66665,Lumiracoxib
D00HGB,T66665,Niflumic Acid
D0S7VO,T66665,Tiaprofenic acid
D07VHR,T66665,Phenylbutazone
D07QAR,T94309,Dalbavancin
D08WSY,T21334,Denosumab
D03KIA,T53585,Cerivastatin
D0A2UV,T89515,Ustekinumab
D0IT2X,T66665,Carprofen
D06PEB,T71192,Cinalukast
D08QIP,T71192,Pranlukast
D05AHE,T22118,Methylergonovine
D09TPF,T67162,Molindone
D0U5FS,T67162,Fluspirilene
D0JE4D,T86836,Dornase Alfa
D08IBS,T86836,Adenine
D0I8RR,T86836,Streptozocin
D0B8UJ,T30418,Nelarabine
D08GYO,T86836,Procarbazine
D03FNJ,T86836,Pipobroman
D02LPF,T86836,Altretamine
D0J9UN,T86836,Uracil mustard
D04JPJ,T86836,Lomustine
D0Y0GH,T86836,Mitomycin
D08GSF,T49814,Proflavine
D08SKH,T06455,Methoxsalen
D09PZO,T28848,Idoxuridine
D0R0BX,T49814,Nitrofurantoin
D07UXP,T96144,Cinoxacin
D0R8ER,T96144,Enoxacin
D04NXQ,T96144,Pefloxacin
D0Q0PR,T96144,Novobiocin
D09OZC,T96144,Lucanthone
D0X7XG,T84972,Fusidic Acid
D0HU9H,T59328,Panitumumab
D07POC,T59328,Erlotinib
D0Y2NE,T89534,Diethylstilbestrol
D0CT9Y,T89534,Clomifene
D0J1ML,T89534,Mestranol
D09ZQN,T89534,Dienestrol
D0H8VY,T46628,BMS-201038
D02EYG,T31391,Linagliptin
D0Y3KG,T65755,Valproate
D08CVQ,T09507,Mipomersen
D0L3MP,T65414,VRX496
D04UZT,T89534,Quinestrol
D09IPV,T89534,Danazol
D06NXY,T89534,Ethinyl Estradiol
D0Z1FX,T89534,Estriol
D00ZFP,T89534,Estrone
D0BF8G,T86528,Pamidronate
D0OL6O,T42822,Methyl aminolevulinate
D0O7GU,T58454,Palifermin
D04WBY,T68334,Menotropins
D0OM3A,T68334,Follitropin beta
D02SBQ,T68334,Urofollitropin
D03WAJ,T54128,Heptabarbital
D0DP6L,T54128,Isoflurane
D05TMQ,T54128,Aprobarbital
D0E3FD,T54128,Bromazepam
D0Q5IN,T54128,Lindane
D0H8WF,T60182,Glucagon recombinant
D00YVF,T36075,Exenatide
D0IL7L,T40016,Prednisone
D03HYX,T40016,Mometasone
D0CW1P,T40016,Betamethasone
D0FM2P,T40016,Flunisolide
D0P0HT,T40016,Fluorometholone
D09PGL,T97071,Capromab
D0ZX2G,T96215,Hexachlorophene
D08WYM,T12475,Nafarelin
D04ODH,T12475,Gonadorelin
D07ESC,T47941,Apremilast
D0YV4F,T73215,Ocrelizumab
D0Y8ZN,T73215,Ofatumumab
D0CI4E,T14597,Pertuzumab
D0I2MK,T44068,Metoprolol
D01UXC,T44068,Atenolol
D0K3ZR,T44068,Bisoprolol
D0HD9K,T44068,Acebutolol
D0X2MB,T44068,Oxprenolol
D0T0KA,T45993,Nicardipine
D0WN0U,T45993,Felodipine
D07BYK,T30081,Penciclovir
D0VT8P,T37847,Famciclovir
D01FGR,T17448,Diphenhydramine
D0T0LM,T28893,Pirenzepine
D01AXB,T21945,Duloxetine
D0H8FH,T49526,Indapamide
D09ZIS,T29303,Zonisamide
D07ONP,T29303,Phenacemide
D0K4CQ,T39716,Indecainide
D0M4YC,T39716,Disopyramide
D0X0RI,T39716,Mexiletine
D08MRN,T39716,Hexylcaine
D0P5GE,T39716,Dibucaine
D07RGW,T39716,Mephenytoin
D04QLR,T39716,Dyclonine
D04VPA,T39716,Moricizine
D06LYG,T39716,Prilocaine
D05EPM,T39716,Ethotoin
D0Q2ES,T39716,Benzonatate
D0XT5Y,T73097,Sargramostim
D0P4DJ,T02333,Somatropin recombinant
D04AQH,T70449,Sermorelin
D0A5FM,T57680,Nitric Oxide
D0I1SK,T71398,Isosorbide Dinitrate
D0YS7D,T71398,Isosorbide Mononitrate
D06IZM,T71398,Erythrityl Tetranitrate
D0U5VZ,T77913,Bepotastine
D05GPO,T77913,Olopatadine
D04OBB,T77913,Pheniramine
D0K5LQ,T77913,Pemirolast
D0E8CI,T77913,Triprolidine
D08VXO,T77913,Brompheniramine
D02XJI,T77913,Emedastine
D02WIW,T77913,Dexbrompheniramine
D00FGV,T77913,Carbinoxamine
D0LR0R,T77913,Methdilazine
D0W6DY,T77913,Diphenylpyraline
D0Y5GK,T77913,Bromodiphenhydramine
D06UDO,T77913,Phenindamine
D0DV3O,T77913,Epinastine
D06EQP,T77913,Aceprometazine
D03XSJ,T77913,Buclizine
D08HZL,T77913,Trimeprazine
D09IMS,T77913,Mequitazine
D0N7AD,T77913,Azatadine
D0EC6Q,T77913,Chlophedianol
D01OUE,T30985,Betazole
D0E7PQ,T68547,Vorinostat
D0TQ1G,T95678,Rimantadine
D04ZBT,T23714,Icatibant
D0YM7U,T73215,Rituximab
D0K5ER,T58921,Rosiglitazone XR
D0K9MY,T31391,Saxagliptin
D05NDR,T06421,Sifalimumab
D0J5YC,T39716,Fosphenytoin
D09NIA,T93878,Chlorthalidone
D0M2MR,T91480,Gliclazide
D0DD0K,T74456,Losartan
D0D5SQ,T74456,Candesartan
D0Q4XQ,T64795,Ethosuximide
D0H0KB,T34123,Riluzole
D0QL3P,T34123,Oxcarbazepine
D08VYV,T67162,Metoclopramide
D06UVD,T86836,Bleomycin
D0Y7ZU,T86836,Dacarbazine
D0P8IV,T86836,Dactinomycin
D0Q9YT,T62390,Tetrahydrobiopterin
D0C1SF,T71484,Griseofulvin
D09LPN,T94033,Lepirudin
D09HVL,T99616,Bivalirudin
D0G4JI,T59045,Pyruvic acid
D03GET,T29999,Menadione
D06VNK,T13259,Succinic acid
D02RQU,T53585,Pravastatin
D06WTZ,T53585,Lovastatin
D0H0ND,T53585,Simvastatin
D05ELO,T85435,"Insulin, porcine"
D0M2XE,T85435,Insulin-glulisine
D03SGR,T35640,Efalizumab
D0R4ZT,T42000,Gallium nitrate
D07NSU,T42000,Glucosamine
D0J3RY,T20710,Denileukin diftitox
D0P6VV,T60693,Dezocine
D07ABV,T73726,Posaconazole
D0Z2CM,T79473,Lutropin alfa
D04ZTY,T92777,Voglibose
D0R7JT,T11211,Fludrocortisone
D0W5LS,T72168,Desoxycorticosterone Pivalate
D06OMW,T83011,Rasagiline
D0RD5W,T79961,Hyoscyamine
D0JY5S,T79961,Methantheline
D0R1WR,T79961,Procyclidine
D0B1EV,T79961,Cyclopentolate
D06HLY,T79961,Pilocarpine
D0ND2J,T79961,Flavoxate
D0FV3V,T79961,Mepenzolate
D0M0AM,T28893,Glycopyrrolate
D0Q1BT,T09130,Clidinium
D07XJM,T28893,Dicyclomine
D02LRQ,T28893,Cycrimine
D0HQ6N,T28893,Benztropine
D09GFL,T51408,Trihexyphenidyl
D0V5ZZ,T28893,Propantheline
D0N5ZS,T97587,Vedolizmab
D0H1YQ,T92609,Xatral
D01QIN,T53585,Atorvastatin
D08GHB,T53585,Fluvastatin
D0JE2E,T53585,Rosuvastatin
D03LGY,T59045,Divalproex sodium
D0R3QY,T59045,Vigabatrin
D0E6YQ,T30082,Tacrine
D0R9VR,T30082,Galantamine
D0S5LH,T30082,Edrophonium
D08USJ,T30082,Neostigmine
D00HNB,T68461,Clodronate
D05GJW,T03661,Cladribine
D0T3AD,T03661,Pentostatin
D0F2XQ,T03661,Fludarabine
D0Z5IU,T26623,Sulindac
D0CF2Q,T09538,Levamisole
D0T6SU,T29500,Phendimetrazine
D00NKB,T52173,Triamterene
D01ZSO,T62151,Moclobemide
D0I2VK,T83875,Isocarboxazid
D0P9AC,T62151,Phenelzine
D0R0UJ,T62151,Pargyline
D01STB,T82577,Ramipril
D0X8KY,T82577,Fosinopril
D0M5OC,T82577,Trandolapril
D0U3EC,T82577,Benazepril
D00SEB,T82577,Enalapril
D00HDU,T82577,Moexipril
D07HGR,T82577,Lisinopril
D0I7SZ,T82577,Quinapril
D0I0EG,T82577,Captopril
D0O5WP,T43189,Docetaxel
D0D1MA,T28893,Oxyphenonium
D0B4TN,T28893,Biperiden
D0M6VK,T67684,Methylscopolamine
D05SJW,T46185,Gallamine Triethiodide
D0L4YD,T67684,Solifenacin
D0Y5AM,T09130,Darifenacin
D0Q7ZQ,T67684,Succinylcholine
D0W9VB,T20709,Diphenidol
D0G5QB,T47768,Alfentanil
D0X6HD,T47768,Anileridine
D0J2TN,T47768,Diphenoxylate
D0GR0T,T47768,Methadyl Acetate
D05PIZ,T47768,Levomethadyl Acetate
D0D7KC,T47768,Alvimopan
D0P0HB,T79068,Ethionamide
D0L7UQ,T79068,Prothionamide
D0B6CC,T70967,Trimethaphan
D0IX1A,T70967,Pentolinium
D0T5UL,T69494,Benzphetamine
D0UM7O,T69494,Ketamine
D09IOI,T21945,Amoxapine
D03KQF,T21945,Maprotiline
D01UTL,T21945,Desipramine
D00HZV,T21945,Trimipramine
D06ZUK,T21945,Imipramine
D09VGC,T21945,Milnacipran
D02MZY,T34743,Cefpiramide
D00HWO,T34743,Cyclacillin
D01DSP,T34743,Cephapirin
D04KTZ,T34743,Cloxacillin
D04CFW,T34743,Bacampicillin
D0Q2AT,T34743,Flucloxacillin
D04ZAH,T34743,Piperacillin
D07NVU,T47107,Midostaurin
D0MU9L,T21678,Migalastat
D09JUG,T00140,Zileuton
D0P7JZ,T62193,Carbidopa
D01JFT,T44068,Dipivefrin
D0Z4UN,T25464,Pimecrolimus
D0S5CU,T45993,Nisoldipine
D02PWM,T61744,Dyphylline
D09AMZ,T61744,Enprofylline
D0L2MX,T20401,Benzthiazide
D03CNS,T20401,Cyclothiazide
D0M9WM,T20401,Chlorothiazide
D0CK3G,T20401,Ethinamate
D0Y7PG,T76904,Tolcapone
D0J1VY,T76904,Entacapone
D0HR8Z,T14908,Miglustat
D0R6TI,T33754,Inamrinone Lactate
D0D1HW,T88975,Anagrelide
D03TYI,T88975,Aminophylline
D0Z7ZM,T24211,Rhucin
D05MQK,T07663,Tadalafil
D0D9JW,T03403,Ketorolac
D03XYW,T03403,Fenoprofen
D0M9DC,T03403,Oxaprozin
D0W9WF,T66665,Ketoprofen
D0C7JF,T13260,Testolactone
D0D2VS,T13260,Exemestane
D0C1WH,T13260,Letrozole
D09CPR,T34743,Penicillin V
D0A0JH,T34743,Nafcillin
D0PA2N,T34743,Azlocillin
D06TQZ,T34743,Meticillin
D04KAQ,T34743,Pivampicillin
D01ZEC,T34743,Cefacetrile
D01BQC,T34743,Cefonicid
D08HDY,T34743,Pivmecillinam
D06OUL,T34743,Ceforanide
D0M1VC,T66040,Amdinocillin
D0K3DQ,T33193,Cefotiam
D06QCC,T33193,Cefmenoxime
D05UBX,T33193,Cefmetazole
D00NJJ,T33193,Mezlocillin
D0O5LU,T33193,Latamoxef
D00WCX,T86591,Bezafibrate
D0FL5V,T31479,Clobetasol
D0G7KJ,T31479,Diflorasone
D00GOS,T31479,Clocortolone
D0M4VM,T34287,Sulfacetamide
D0PI2E,T34287,Sulfoxone
D0T1UJ,T89034,Reteplase
D0K4DI,T89034,Anistreplase
D04URO,T89034,Streptokinase
D0D4CY,T88240,Sulfapyridine
D0T1GT,T88240,Sulfacytine
D0VA0I,T36483,Vorapaxar
D0N4HB,T85529,Belatacept
D0CT4D,T73676,Brivaracetam
D0W0BF,T13260,Anastrozole
D01AQT,T73726,Terconazole
D0B4IF,T73726,Ketoconazole
D02GIU,T41201,Cilastatin
D0P8RS,T89515,Proguanil
D0Y7TS,T89515,Trimetrexate
D08ROP,T01318,Leflunomide
D0U2JP,T31391,Sitagliptin
D09FAZ,T92308,Azacitidine
D04QJD,T37847,Valaciclovir
D07XSN,T37847,Cytarabine
D05ARP,T37847,Ganciclovir
D06GWF,T37847,Valganciclovir
D07IPB,T96144,Valrubicin
D02KOF,T96144,Lomefloxacin
D09XZB,T59328,Gefitinib
D0PA5S,T86528,Risedronate
D03ZFG,T16514,Cerulenin
D0XF8W,T79068,Pyrazinamide
D00MYT,T11754,Thiopental
D07JJS,T88240,Sulfamethizole
D09TBD,T88240,Sulfisoxazole
D04GYO,T73726,Oxiconazole
D0F1UL,T22939,Dydrogesterone
D0Z4ZT,T72168,Drospirenone
D0BA9U,T22939,Levonorgestrel
D06CGB,T22939,Desogestrel
D09QZI,T22939,Norgestimate
D0I2SD,T22939,Medroxyprogesterone
D0GL7U,T22939,Norethindrone
D0V0IX,T99954,Epoprostenol
D01WUA,T99954,Treprostinil
D0C6NM,T75797,Latanoprost
D03SVX,T61622,Aliskiren
D0C2EP,T61622,Remikiren
D02DGU,T82146,Tretinoin
D0K3QS,T75243,Everolimus
D01OIL,T63068,Gadobenate Dimeglumine
D07OIX,T63068,Iodipamide
D05ATI,T63068,Sodium lauryl sulfate
D0OG5K,T63068,Bismuth
D0H2SY,T29303,Oxybuprocaine
D0WO8W,T29303,Mepivacaine
D09QUQ,T29303,Levobupivacaine
D0Q8ZX,T29303,Benzocaine
D0K8MP,T29303,Permethrin
D02NTO,T93344,Tolnaftate
D05LKP,T88240,Sulfadiazine
D0R9OH,T88240,Sulfamethoxazole
D0H1GJ,T88240,Sulfamerazine
D0TD2G,T42000,Canakinumab
D0CA0P,T20178,Certolizumab
D0A3HB,T11754,Propofol
D03LJR,T90695,Sirolimus
D08QCJ,T31230,Thiabendazole
D0J0ZS,T42446,Gabapentin
D01XLM,T64382,Piperazine
D0A4JK,T51487,Butabarbital
D05BQK,T51487,Butalbital
D0F0YZ,T51487,Pentobarbital
D0S9MC,T28722,Clobazam - Lundbeck
D00SJE,T51487,Secobarbital
D0KR9U,T51487,Picrotoxin
D0S8TD,T51487,Methohexital
D0U5RT,T51487,Primidone
D08UMH,T51487,Methylphenobarbital
D00AMQ,T51487,Ethanol
D07SOO,T51487,Methoxyflurane
D05OQJ,T51487,Methyprylon
D0R6BR,T51487,Amobarbital
D0O3AB,T51487,Butethal
D00ETS,T51487,Hexobarbital
D0T5WK,T51487,Nitrazepam
D0D8VE,T54128,Halothane
D0H4GN,T54128,Desflurane
D0W6ZF,T54128,Sevoflurane
D0L9ZR,T19433,Praziquantel
D0V9YR,T88240,Sulfamethazine
D0I3IG,T48873,Alseroxylon
D0M3MN,T52227,Leucovorin/5-fluorouracil
D0TS1Z,T52227,Floxuridine
D00MIN,T51120,Propylthiouracil
D0H4TQ,T60606,Thyrotropin Alfa
D0Q9WO,T75440,Cinolazepam
D0E7FS,T75440,Adinazolam
D0S1OE,T75440,Chlormezanone
D08EOD,T64795,Methsuximide
D09DHY,T43189,Colchicine
D0Q5NX,T20178,Lenalidomide
D00NVX,T74456,Forasartan
D0B9AO,T74456,Saprisartan
D0M7TO,T74456,Tasosartan
D0UF9W,T15023,Pegaptanib
D0P6ZH,T84316,Lercanidipine
D0OB1J,T84316,Diltiazem
D0A1DH,T84316,Nitrendipine
D0U4VT,T64795,Trimethadione
D09JBP,T64795,Paramethadione
D0N3SP,T73726,Butoconazole
D0CA6J,T73726,Tioconazole
D0EV8E,T73726,Econazole
D0O6UZ,T73726,Sertaconazole
D02FXK,T30028,Botulinum Toxin Type B
D0K5WS,T34234,Cholecalciferol
D00FSV,T88182,Phytonadione
D0Z5SM,T24836,Sodium Tetradecyl Sulfate
D0R9BG,T28869,Acetohydroxamic Acid
D02VIT,T86674,Arbidol
D0P2IW,T31595,Peramivir
D03QWT,T88240,Doripenem
D0G5CF,T34234,Doxercalciferol
D05CPV,T67952,Dronedarone
D0R0FO,T80975,Lenvatinib
D00PEH,T16156,Eltrombopag
D0CL9S,T71501,Telbivudine
D04NQI,T17448,Amodiaquine
D0D9HW,T14342,Tenofovir
D01XYJ,T74312,Zidovudine
D06FDR,T14342,Didanosine
D0A4IJ,T14342,Abacavir
D0F5MT,T56915,Fosamprenavir
D0M1IO,T81900,Bacitracin
D0D0ZD,T92777,Miglitol
D02DKD,T16422,Benzquinamide
D0O5NK,T31595,Oseltamivir
D00NPP,T31595,Zanamivir
D0OB2M,T55815,Mivacurium
D09LWS,T33901,Ezetimibe
D0U0RZ,T21945,Phentermine
D0N8FQ,T21945,Reboxetine
D04CRN,T21945,Atomoxetine
D0KL4J,T51666,Rabeprazole
D0C4YC,T60529,Mesalazine
D07BPS,T60529,Suprofen
D07HBX,T13201,Salicyclic acid
D0U1OM,T60529,Bromfenac
D0A6KR,T60529,Balsalazide
D03QCW,T06421,Interferon alfa-n1
D0CQ2O,T06421,Interferon beta-1b
D0GA0A,T06421,Interferon alfacon-1
D04RZD,T06421,"Interferon Alfa-2b, Recombinant"
D0U8US,T30284,Interferon gamma-1b
D0T1IJ,T47610,Oprelvekin
D0E2OU,T63140,Quinupristin
D07DUU,T97174,Alglucosidase alfa
D0B8SV,T77195,NADH
D0L7FM,T70680,Probenecid
D05AFC,T53601,Dalfopristin
D0M7BT,T52007,Doxapram
D0O8JB,T46904,Secretin
D0V0LB,T95479,Cysteamine
D0D1RM,T71023,Botulinum Toxin Type A
D0V6RC,T75041,Satumomab Pendetide
D0M7XS,T60433,Antithymocyte globulin
D0C6PS,T87075,Muromonab
D0I1XG,T32247,Salmon Calcitonin
D06URS,T21890,Arcitumomab
D0Z9NZ,T57392,Glutethimide
D07MGA,T16688,Hesperetin
D03SRY,T26240,Estramustine
D0H2QO,T87467,Tetrahydrofolic acid
D0Z0DW,T35465,Folic Acid
D0GQ7K,T28658,Mefloquine
D08OKJ,T49493,Iron Dextran
D0Y3TM,T49493,Iron
D0J7TM,T95400,Benzylpenicilloyl Polylysine
D0Z3DY,T05089,Benzbromarone
D0L7LC,T68547,Romidepsin
D07UHS,T13852,Fingolimod
D09FSG,T20178,Golimumab
D0Y0JH,T60529,Salsalate
D0I6IB,T66665,Tenoxicam
D03RTS,T66665,Celecoxib
D09MGR,T66665,Etoricoxib
D03HFG,T27812,Fluvoxamine
D08RBC,T27812,Escitalopram
D0ZS8P,T27812,Clomipramine
D05QDC,T29130,Acitretin
D02OZE,T36053,Digoxin
D0J9XZ,T93878,Torasemide
D03GVC,T93878,Methyclothiazide
D00WAM,T93878,Hydroflumethiazide
D06TNL,T93878,Ethacrynic acid
D01WLC,T84886,Metolazone
D06TNG,T84886,Polythiazide
D00HPK,T93344,Naftifine
D0J4JM,T48873,Reserpine
D09PJX,T48873,Tetrabenazine
D07UWV,T94033,Argatroban
D01KKQ,T52227,Raltitrexed
D05RHI,T52227,Trifluridine
D00HCQ,T52227,Capecitabine
D02CKX,T51120,Carbimazole
D0S4BR,T51120,Methimazole
D05EAM,T14558,Pentamidine
D01HTL,T43189,Vinorelbine
D0N6RF,T74456,Telmisartan
D01GYT,T24634,Fosfomycin
D02TJS,T11843,Dicumarol
D04CRL,T83611,Glatiramer Acetate
D05EJG,T89697,L-Tryptophan
D00PLV,T82624,Nitroprusside
D06ACW,T63609,Adenosine monophosphate
D05GRY,T71230,Nesiritide
D08JCA,T88240,Silver sulfadiazine
D09OOV,T88240,Polymyxin B Sulfate
D0K7NQ,T88240,Colistin
D0V4GY,T88240,Chlorhexidine
D0J7XL,T88240,Gramicidin D
D05HPI,T88240,Daptomycin
D0Q3BV,T88240,Colistimethate
D02FEM,T87119,Natamycin
D06ZAY,T87119,Haloprogin
D07VIK,T78429,Arsenic trioxide
D0W9OR,T37539,OspA lipoprotein
D0VF4H,T15569,Hydroxocobalamin
D06XZW,T58921,Troglitazone
D05VLS,T66665,Rofecoxib
D0ZJ1C,T77913,(S)-(+)-Dimethindene maleate
D01UBX,T96144,Aclarubicin
D0O4EU,T77913,Acrivastine
D0I1LH,T72168,Aldosterone
D0P0SM,T11072,Almogran
D06FZX,T77913,Antazoline
D08FPM,T96144,Dhaq diacetate
D0X7JR,T60366,Eflornithine
D0E0WQ,T51487,Barbital
D03DJL,T52522,Indacaterol
D08FTG,T11843,Phenindione
D0E3OF,T11843,Warfarin
D0QV5T,T11843,Phenprocoumon
D05HFY,T11843,Acenocoumarol
D04KYY,T40954,Allopurinol
D0V1UW,T07137,Nitisinone
